timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741616255724,334,Update User,200,OK,Stress Test 1-257,text,true,,885,632,4,4,https://thinking-tester-contact-list.herokuapp.com/users/me,334,0,0
1741616256059,273,Add Contact,201,Created,Stress Test 1-258,text,true,,1011,809,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts,273,0,0
1741616256059,273,Add Contact,201,Created,Stress Test 1-257,text,true,,1019,816,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts,273,0,0
1741616256059,273,Add Contact,201,Created,Stress Test 1-259,text,true,,1012,813,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts,273,0,0
1741616256332,256,Get Contacts,200,OK,Stress Test 1-258,text,true,,1008,525,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts,256,0,0
1741616256333,263,Get Contacts,200,OK,Stress Test 1-259,text,true,,1009,525,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts,263,0,0
1741616256332,264,Get Contacts,200,OK,Stress Test 1-257,text,true,,1016,525,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts,264,0,0
1741616256589,264,Update Contact,200,OK,Stress Test 1-258,text,true,,1036,836,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48432eaf700137a5095,264,0,0
1741616256596,271,Update Contact,200,OK,Stress Test 1-257,text,true,,1043,843,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48432eaf700137a5094,271,0,0
1741616256596,271,Update Contact,200,OK,Stress Test 1-259,text,true,,1034,837,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48453c0aa001392fd09,271,0,0
1741616255933,1112,Add User,201,Created,Stress Test 1-260,text,true,,1278,336,4,4,https://thinking-tester-contact-list.herokuapp.com/users,1112,0,824
1741616256853,266,Patch Contact,200,OK,Stress Test 1-258,text,true,,1005,602,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48432eaf700137a5095,266,0,0
1741616256867,274,Patch Contact,200,OK,Stress Test 1-257,text,true,,1013,602,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48432eaf700137a5094,274,0,0
1741616256867,278,Patch Contact,200,OK,Stress Test 1-259,text,true,,1003,602,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48453c0aa001392fd09,278,0,0
